"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent"
"Bin1",6.35810672960744e-05,"0cb51ae34e693c6cc806b3b46fd149112ae4d156",0.671816426840344,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Levybacteria","Candidatus_Levybacteria","Candidatus_Levybacteria","Bacteria",1,"Patescibacteria",1,"Microgenomatia",1,"Candidatus_Levybacteria",0.671816426840344,"Candidatus_Levybacteria",0.671816426840344,"Candidatus_Levybacteria",0.671816426840344
"Bin2",5.63553795734695e-06,"1e877b29a2e2e21765b4542dfb54f08c4a5265f0",0.872612746192899,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Curtissbacteria","Candidatus_Curtissbacteria","Candidatus_Curtissbacteria","Bacteria",1,"Patescibacteria",1,"Microgenomatia",1,"Candidatus_Curtissbacteria",0.872612746192899,"Candidatus_Curtissbacteria",0.872612746192899,"Candidatus_Curtissbacteria",0.872612746192899
"Bin3",6.55785381977674e-05,"e4f3e66194e2c7b4a96207521de5c009ac9b6566",0.831663060642224,"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Pacebacteria","Candidatus_Pacebacteria","Candidatus_Pacebacteria","Bacteria",1,"Patescibacteria",1,"Microgenomatia",1,"Candidatus_Pacebacteria",0.831663060642224,"Candidatus_Pacebacteria",0.831663060642224,"Candidatus_Pacebacteria",0.831663060642224
"Bin4",0.000325188673143672,"830e857ce85dccf8b6b1281d162609d077165e8c",0.970598661879892,"Bacteria","Patescibacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria","Bacteria",1,"Patescibacteria",1,"Dojkabacteria",0.970598661879892,"Dojkabacteria",0.970598661879892,"Dojkabacteria",0.970598661879892,"Dojkabacteria",0.970598661879892
"Bin5",2.68075894673224e-05,"aa5efe250dcc2399990bf1bda29d72ce14df6a06",0.568447192889584,"Bacteria","Patescibacteria","Parcubacteria","GWA2-38-13b","GWA2-38-13b","GWA2-38-13b","Bacteria",1,"Patescibacteria",1,"Parcubacteria",1,"GWA2-38-13b",0.568447192889584,"GWA2-38-13b",0.568447192889584,"GWA2-38-13b",0.568447192889584
"Bin6",9.49727905191164e-06,"23db9143b14634a12268387bf6e87afb17e78371",0.420805878889138,"Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria","Bacteria",1,"Patescibacteria",1,"ABY1",1,"Candidatus_Uhrbacteria",0.420805878889138,"Candidatus_Uhrbacteria",0.420805878889138,"Candidatus_Uhrbacteria",0.420805878889138
"Bin7",1.78616391835416e-05,"686a0d73cf83eb5b42a71a588eebb3009b4a4a12",0.781667087395298,"Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","Bacteria",1,"Patescibacteria",1,"Parcubacteria",0.781667087395298,"Parcubacteria",0.781667087395298,"Parcubacteria",0.781667087395298,"Parcubacteria",0.781667087395298
"Bin8",0.000402115927667632,"06806a10b55a5a9c6c95611201cd79bc5416510e",0.920770582631421,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","Bacteria",1,"Patescibacteria",0.922665396779822,"Saccharimonadia",0.922665396779822,"Saccharimonadales",0.922665396779822,"Saccharimonadales",0.920770582631421,"Saccharimonadales",0.920770582631421
"Bin9",2.43810945132135e-06,"63b01302bab92ffea4cbab60bbd2383be70d0ae8",0.715613310579923,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a","Bacteria",1,"Patescibacteria",1,"Saccharimonadia",1,"Saccharimonadales",1,"Saccharimonadaceae",1,"TM7a",0.715613310579923
"Bin10",0.000280867514167488,"ce94846503bfbfa3b96a72d0acabcec89f6a3c9b",0.670416585984822,"Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria","Candidatus_Peribacteria","Bacteria",1,"Patescibacteria",0.951579398856847,"Gracilibacteria",0.951579398856847,"Candidatus_Peribacteria",0.670416585984822,"Candidatus_Peribacteria",0.670416585984822,"Candidatus_Peribacteria",0.670416585984822
