Method,GroupBasedOn,Group,HeS,HoS,DL,HD,DR
bNTIiRCbraya,Site,Fish Den,0.060217134,0.111007578,0.390446014,0.015740786,0.422588489
bNTIiRCbraya,Site,Leo's Den,0.105556752,0.097784183,0.202933864,0.008465836,0.585259365
bNTIiRCbraya,Site,B-S Deep,0.07876023,0.082521522,0.235401168,0.008275692,0.595041388
bNTIiRCbraya,Site,White Hole,0.077581678,0.086590135,0.307947222,0.010664302,0.517216663
bNTIiRCbraya,Site,Wicked Pissa,0.07669931,0.106448552,0.124406969,0.00927555,0.683169619
bNTIiRCbraya,Site,Phlipper's Peace,0.087083403,0.11229721,0.094494778,0.02767578,0.67844883
bNTIiRCbraya,Site,Thalassa Arg,0.086138062,0.08336188,0.275142066,0.007276465,0.548081527
bNTIiRCbraya,Site,International Diver,0.10558224,0.081117342,0.293723227,0.005690708,0.513886484
bNTIiRCbraya,Site,Pillar Coral,0.077693749,0.099072597,0.265250806,0.00736255,0.550620298
bNTIiRCbraya,Site,Overheat,0.087419525,0.111181918,0.233206593,0.014545328,0.553646636
bNTIiRCbraya,Site,Angus' Aquarium,0.082440447,0.088737574,0.166061732,0.005408368,0.65735188
bNTIiRCbraya,Site,Fish Den_vs_Leo's Den,0.071941462,0.107112242,0.305678493,0.006663047,0.508604757
bNTIiRCbraya,Site,Fish Den_vs_B-S Deep,0.067953561,0.097081053,0.318072976,0.00756501,0.5093274
bNTIiRCbraya,Site,Fish Den_vs_White Hole,0.070811061,0.08973855,0.330609987,0.012033644,0.496806757
bNTIiRCbraya,Site,Fish Den_vs_Wicked Pissa,0.074307957,0.105377569,0.271809413,0.011637976,0.536867086
bNTIiRCbraya,Site,Fish Den_vs_Phlipper's Peace,0.062042027,0.105629185,0.270010249,0.020013711,0.542304828
bNTIiRCbraya,Site,Fish Den_vs_Thalassa Arg,0.061834828,0.104695808,0.339601486,0.007272798,0.486595081
bNTIiRCbraya,Site,Fish Den_vs_International Diver,0.07573096,0.08401854,0.337586526,0.005979366,0.496684607
bNTIiRCbraya,Site,Fish Den_vs_Pillar Coral,0.067883873,0.10433894,0.323477036,0.00986758,0.494432571
bNTIiRCbraya,Site,Fish Den_vs_Overheat,0.067681657,0.102595013,0.308906175,0.010963549,0.509853606
bNTIiRCbraya,Site,Fish Den_vs_Angus' Aquarium,0.071647581,0.083226061,0.286071442,0.009839219,0.549215698
bNTIiRCbraya,Site,Leo's Den_vs_B-S Deep,0.085837642,0.095276456,0.222280716,0.00468131,0.591923877
bNTIiRCbraya,Site,Leo's Den_vs_White Hole,0.086740085,0.080696917,0.249995688,0.008959309,0.573608001
bNTIiRCbraya,Site,Leo's Den_vs_Wicked Pissa,0.078048463,0.104267648,0.181335863,0.008177162,0.628170864
bNTIiRCbraya,Site,Leo's Den_vs_Phlipper's Peace,0.090087617,0.101622433,0.163339241,0.017202624,0.627748085
bNTIiRCbraya,Site,Leo's Den_vs_Thalassa Arg,0.085317692,0.099928732,0.255891616,0.004588808,0.554273151
bNTIiRCbraya,Site,Leo's Den_vs_International Diver,0.114039587,0.085088423,0.233257889,0.005930962,0.561683138
bNTIiRCbraya,Site,Leo's Den_vs_Pillar Coral,0.091408934,0.099320177,0.230276814,0.009562378,0.569431696
bNTIiRCbraya,Site,Leo's Den_vs_Overheat,0.08721415,0.112059582,0.211341074,0.005457794,0.583927401
bNTIiRCbraya,Site,Leo's Den_vs_Angus' Aquarium,0.097916401,0.087745892,0.19871173,0.011880173,0.603745804
bNTIiRCbraya,Site,B-S Deep_vs_White Hole,0.079486233,0.08413665,0.254137933,0.007105644,0.57513354
bNTIiRCbraya,Site,B-S Deep_vs_Wicked Pissa,0.069527496,0.103447763,0.181951455,0.006153698,0.638919588
bNTIiRCbraya,Site,B-S Deep_vs_Phlipper's Peace,0.075697797,0.104216046,0.170390782,0.010504463,0.639190912
