ID,Bin,TaxonRelativeAbundance,Kingdom,Phylum,Class,Order,Family,Genus
4c6437b24798217c3997db23b97b47b362fc61f8,Bin325,0.00012668,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira
21c45e8b23b61b1dd4f207f2245d3b882d77f6a4,Bin325,3.75E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetovibrio
738ffbb1871b17ca33dd226729a9e94c8e0fd3e0,Bin325,0.000512298,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Uncultured_Magnetospiraceae
950effc6c8e0097fc1ca49921308c56f0b547f96,Bin325,6.28E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospiraceae
44b6918185cc1f2a089f08685aecd07e637c07d5,Bin327,6.93E-07,Bacteria,Proteobacteria,Alphaproteobacteria,NRL2,NRL2,NRL2
8e1bf1f3d7a114e9c88093035064f409a8009637,Bin326,1.69E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Dstr-E11,Dstr-E11,Dstr-E11
4f5cdbd77c7f6e0679b29895866550c4ac9440c1,Bin326,5.93E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Uncultured_Sneathiellaceae
89efc0140162ab5e47037a4085cced24b2b45e22,Bin327,0.000273673,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,AT-s3-44,AT-s3-44
826703172a46da43f0f7c0719cbdea4b25f7f8ad,Bin327,0.001213152,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,Uncultured_Defluviicoccales
f4c7ba8740314faddf8fff6828ee11cd075de29d,Bin328,5.84E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,Nisaea
936815d92696d6dfdd47e5499799a04962aba4e2,Bin328,3.45E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75_clade
a0be96bb482be90137eb81f77d50e0c4712aee63,Bin328,0.000243508,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum
a06176c83322f229147d3c684fa03ccb0186f785,Bin328,0.014937959,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,uncultured,Uncultured_Thalassobaculales
76ddd62f04d813c3fb425a56a4c151e31965268a,Bin329,3.85E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Limibacillus
b22525ae411b181d8c3bfd19255f035bcd8959b9,Bin329,0.002343182,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Pelagibius
2b11fc887551f149b0484e9412af0254dc4bbb80,Bin329,0.007770938,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Uncultured_Kiloniellaceae
a61858ab8b49c95e89cc030d676067df1f3c4dbd,Bin330,0.000241885,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,Fodinicurvata
b50fb0cc3eb9c97944946d7167a4c1491891fa1f,Bin330,0.002352473,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Tistlia
ce0118a4364b3f0e7efabff0bec2c481a23c15a9,Bin331,0.000245793,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,EF100-94H03,EF100-94H03
cb102aa16ec071ede2910bb03230645efe8ecd8e,Bin331,0.001681427,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Uncultured_Geminicoccaceae
740d7d328d11d968dd8a258bb685fd838d1bcd82,Bin331,0.003292297,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,Uncultured_Alphaproteobacteria
3549c93e47298d3a78e0fc5c0ca4ec4b25c6c937,Bin332,0.000169643,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales_Incertae_Sedis,Constrictibacter
ec0d58c6a0b85d172f76cd66d232e0c84b9d360f,Bin332,8.87E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,uncultured,Uncultured_Puniceispirillales
3c5a2ea8d1d825678cb8ddab344faa1591e829d8,Bin332,4.51E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Tistrellaceae,Tistrella
01691b09c42f3b968e54fdf0b842b15a309869a0,Bin332,0.000242079,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Fodinicurvataceae,Uncultured_Fodinicurvataceae
e6c6ca503d685296b30bc8f042b3e239ba8d966a,Bin332,0.010094638,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
193c6177ac8e7df91bb93f71f90ab2c0a24e069f,Bin333,1.14E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus
dc7ce90d27319fb811acea247c6b9bd70af3674c,Bin333,3.81E-07,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum
84e98dda57f1a66329a142b24e03b5598ece41fa,Bin333,1.13E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum
2d66ae7a163df97ce53b96abbea19d49d84436cd,Bin333,4.82E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella
3519933bcedf48f9273463f20cb107e142cd7612,Bin334,3.59E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Candidatus_Riegeria
df4f99167541a01adcdac4109c9595e0c921403b,Bin334,1.52E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Craurococcus-Caldovatus
6eeb96c03d31d633ef3121cad70e4377c0da6075,Bin334,8.82E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella
eeca154f6b97b38ea8de59a07a1216b9bd632a66,Bin334,1.80E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Uncultured_Acetobacteraceae
b8d240f1e80049bc8e0c444712c2c3a15aa3248f,Bin335,1.32E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Uncultured_Reyranellaceae
ae58eca61b4be54c902c3caa64158a195081b1a0,Bin335,1.66E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
1e4fb6a3a450204542db9d24e1c7620b55fd192e,Bin336,1.16E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia
a5611eb7441dfd493b123b45763fd9c1a5fe8c22,Bin336,8.65E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,Uncultured_Elsterales
191529aa97b62c3e4133514d39ecdf69a7239ed1,Bin336,2.08E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,Uncultured_Elsteraceae
18262e29868a2229460c1d077f4181c808ae9af9,Bin336,1.32E-06,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Uncultured_Azospirillaceae
