feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bin296	Depth	Depth	-3.11895886338199	0.547004275849247	33	5	1.18485452980301e-08	2.60194054744741e-05
Bin296	AvgSampTemp	AvgSampTemp	6.71599309438126	1.16255772320797	33	5	7.60842732978055e-09	2.60194054744741e-05
Bin301	MacroShan	MacroShan	-4.70593682110559	0.863495332724427	33	28	5.04068118980774e-08	7.37955726187853e-05
Bin205	AvgSampTemp	AvgSampTemp	10.7796985211766	2.0482217190436	33	3	1.41758366109128e-07	0.000155650685987822
Bin160	MacroShan	MacroShan	-4.01053959505576	0.780848345330069	33	31	2.80451815320087e-07	0.000246348874577165
Bin199	AvgSiteTemp	AvgSiteTemp	-6.36324728632726	1.28712082546161	33	29	7.66206123333771e-07	0.00056086288228032
Bin301	Salinity	Salinity	7.457369865538	1.56612720192238	33	28	1.92004175183006e-06	0.00120468905343395
Bin301	Silicate	Silicate	-11.7705014534668	2.57093316087641	33	28	4.68771669511664e-06	0.00243769113024194
Bin29	MacroShan	MacroShan	-2.81122726597153	0.618826778982512	33	30	5.55029856612463e-06	0.00243769113024194
Bin199	CoralCover	CoralCover	-8.35025290938826	1.83331036301267	33	29	5.24502931116548e-06	0.00243769113024194
Bin307	Silicate	Silicate	-9.27200347179964	2.07523307706592	33	30	7.89788325994868e-06	0.00315340938888133
Bin8	AvgSampTemp	AvgSampTemp	1.5583733159474	0.350266130091511	33	23	8.62259620257339e-06	0.00315587021014186
Bin307	CoralCover	CoralCover	-6.06067142034368	1.37821989499029	33	30	1.09523391832222e-05	0.00370020566867014
Bin249	MacroShan	MacroShan	-2.70520378989009	0.619084143198501	33	31	1.24424881928377e-05	0.00390338629592452
Bin307	CoralSimp	CoralSimp	8.32780375802957	1.94334951433066	33	30	1.8250624082499e-05	0.00478897371460126
Bin359	CoralSimp	CoralSimp	-3.52948356033755	0.821603038641174	33	33	1.74025089697236e-05	0.00478897371460126
Bin371	pH	pH	3.85784021291386	0.905344674789814	33	33	2.03346754949188e-05	0.00478897371460126
